mz,mzmin,mzmax,rt,rtmin,rtmax,into,intb,maxo,sn,id,mz.cont,source
131.03483,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,-131.03483,bgn
131.07123,NA,NA,NA,NA,NA,NA,NA,NA,NA,176,-131.07123,bgn
132.01212,NA,NA,NA,NA,NA,NA,NA,NA,NA,177,-132.01212,bgn
132.99615,NA,NA,NA,NA,NA,NA,NA,NA,NA,178,-132.99615,bgn
133.01221,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,-133.01221,bgn
133.05136,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,-133.05136,bgn
134.02951,NA,NA,NA,NA,NA,NA,NA,NA,NA,181,-134.02951,bgn
134.0471,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,-134.0471,bgn
134.97547,NA,NA,NA,NA,NA,NA,NA,NA,NA,183,-134.97547,bgn
135.02998,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,-135.02998,bgn
136.93661,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,-136.93661,bgn
136.99104,NA,NA,NA,NA,NA,NA,NA,NA,NA,186,-136.99104,bgn
137.02751,NA,NA,NA,NA,NA,NA,NA,NA,NA,187,-137.02751,bgn
137.03553,NA,NA,NA,NA,NA,NA,NA,NA,NA,188,-137.03553,bgn
138.01956,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,-138.01956,bgn
139.04313,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,-139.04313,bgn
140.9861,NA,NA,NA,NA,NA,NA,NA,NA,NA,191,-140.9861,bgn
141.01683,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,-141.01683,bgn
141.06691,NA,NA,NA,NA,NA,NA,NA,NA,NA,193,-141.06691,bgn
141.09202,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,-141.09202,bgn
142.02012,NA,NA,NA,NA,NA,NA,NA,NA,NA,195,-142.02012,bgn
142.05082,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,-142.05082,bgn
142.97531,NA,NA,NA,NA,NA,NA,NA,NA,NA,197,-142.97531,bgn
143.02082,NA,NA,NA,NA,NA,NA,NA,NA,NA,198,-143.02082,bgn
143.03483,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,-143.03483,bgn
143.04608,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,-143.04608,bgn
143.07124,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,-143.07124,bgn
143.10763,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,-143.10763,bgn
144.03011,NA,NA,NA,NA,NA,NA,NA,NA,NA,203,-144.03011,bgn
144.11102,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,-144.11102,bgn
144.99172,NA,NA,NA,NA,NA,NA,NA,NA,NA,205,-144.99172,bgn
145.05053,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,-145.05053,bgn
145.06175,NA,NA,NA,NA,NA,NA,NA,NA,NA,207,-145.06175,bgn
145.08693,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,-145.08693,bgn
145.09814,NA,NA,NA,NA,NA,NA,NA,NA,NA,209,-145.09814,bgn
146.02087,NA,NA,NA,NA,NA,NA,NA,NA,NA,210,-146.02087,bgn
146.0264,NA,NA,NA,NA,NA,NA,NA,NA,NA,211,-146.0264,bgn
148.9524,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,-148.9524,bgn
149.0494,NA,NA,NA,NA,NA,NA,NA,NA,NA,213,-149.0494,bgn
151.04001,NA,NA,NA,NA,NA,NA,NA,NA,NA,214,-151.04001,bgn
152.03532,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,-152.03532,bgn
154.06219,NA,NA,NA,NA,NA,NA,NA,NA,NA,216,-154.06219,bgn
154.94736,NA,NA,NA,NA,NA,NA,NA,NA,NA,217,-154.94736,bgn
155.00166,NA,NA,NA,NA,NA,NA,NA,NA,NA,218,-155.00166,bgn
155.10771,NA,NA,NA,NA,NA,NA,NA,NA,NA,219,-155.10771,bgn
155.94691,NA,NA,NA,NA,NA,NA,NA,NA,NA,220,-155.94691,bgn
156.00217,NA,NA,NA,NA,NA,NA,NA,NA,NA,221,-156.00217,bgn
156.94384,NA,NA,NA,NA,NA,NA,NA,NA,NA,222,-156.94384,bgn
156.95105,NA,NA,NA,NA,NA,NA,NA,NA,NA,223,-156.95105,bgn
156.99069,NA,NA,NA,NA,NA,NA,NA,NA,NA,224,-156.99069,bgn
156.99769,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,-156.99769,bgn
157.00577,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,-157.00577,bgn
157.03231,NA,NA,NA,NA,NA,NA,NA,NA,NA,227,-157.03231,bgn
157.06157,NA,NA,NA,NA,NA,NA,NA,NA,NA,228,-157.06157,bgn
157.08685,NA,NA,NA,NA,NA,NA,NA,NA,NA,229,-157.08685,bgn
157.1232,NA,NA,NA,NA,NA,NA,NA,NA,NA,230,-157.1232,bgn
157.99403,NA,NA,NA,NA,NA,NA,NA,NA,NA,231,-157.99403,bgn
158.04569,NA,NA,NA,NA,NA,NA,NA,NA,NA,232,-158.04569,bgn
158.09299,NA,NA,NA,NA,NA,NA,NA,NA,NA,233,-158.09299,bgn
158.1266,NA,NA,NA,NA,NA,NA,NA,NA,NA,234,-158.1266,bgn
158.98943,NA,NA,NA,NA,NA,NA,NA,NA,NA,235,-158.98943,bgn
159.07732,NA,NA,NA,NA,NA,NA,NA,NA,NA,236,-159.07732,bgn
159.10249,NA,NA,NA,NA,NA,NA,NA,NA,NA,237,-159.10249,bgn
159.99224,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,-159.99224,bgn
160.04107,NA,NA,NA,NA,NA,NA,NA,NA,NA,239,-160.04107,bgn
161.02743,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,-161.02743,bgn
161.04546,NA,NA,NA,NA,NA,NA,NA,NA,NA,241,-161.04546,bgn
163.06114,NA,NA,NA,NA,NA,NA,NA,NA,NA,242,-163.06114,bgn
165.02228,NA,NA,NA,NA,NA,NA,NA,NA,NA,243,-165.02228,bgn
165.04029,NA,NA,NA,NA,NA,NA,NA,NA,NA,244,-165.04029,bgn
165.979,NA,NA,NA,NA,NA,NA,NA,NA,NA,245,-165.979,bgn
169.08703,NA,NA,NA,NA,NA,NA,NA,NA,NA,246,-169.08703,bgn
171.07752,NA,NA,NA,NA,NA,NA,NA,NA,NA,247,-171.07752,bgn
171.10274,NA,NA,NA,NA,NA,NA,NA,NA,NA,248,-171.10274,bgn
171.13907,NA,NA,NA,NA,NA,NA,NA,NA,NA,249,-171.13907,bgn
172.14253,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,-172.14253,bgn
172.95785,NA,NA,NA,NA,NA,NA,NA,NA,NA,251,-172.95785,bgn
173.95753,NA,NA,NA,NA,NA,NA,NA,NA,NA,252,-173.95753,bgn
174.05915,NA,NA,NA,NA,NA,NA,NA,NA,NA,253,-174.05915,bgn
174.9543,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,-174.9543,bgn
174.95981,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,-174.95981,bgn
174.96711,NA,NA,NA,NA,NA,NA,NA,NA,NA,256,-174.96711,bgn
175.00939,NA,NA,NA,NA,NA,NA,NA,NA,NA,257,-175.00939,bgn
175.01731,NA,NA,NA,NA,NA,NA,NA,NA,NA,258,-175.01731,bgn
175.04301,NA,NA,NA,NA,NA,NA,NA,NA,NA,259,-175.04301,bgn
175.06107,NA,NA,NA,NA,NA,NA,NA,NA,NA,260,-175.06107,bgn
175.07071,NA,NA,NA,NA,NA,NA,NA,NA,NA,261,-175.07071,bgn
175.07691,NA,NA,NA,NA,NA,NA,NA,NA,NA,262,-175.07691,bgn
175.11895,NA,NA,NA,NA,NA,NA,NA,NA,NA,263,-175.11895,bgn
176.04273,NA,NA,NA,NA,NA,NA,NA,NA,NA,264,-176.04273,bgn
